UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B113,BGEM-0137-S,1128.0,28.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,70.6799704405738,8.98253615609949,66.093876003933,169.697825534594,213.92715334349603
B114,BGEM-0138-S,1222.0,22.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,71.6933135904529,8.131141080430139,87.96766728874908,185.89485485705,226.579561024028
B115,BGEM-0140-N,1030.0,30.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,74.6164188304888,7.60408698596817,60.625428182728996,156.137521915794,194.406295779246
B117,BGEM-0143-N,1266.0,16.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,77.890296699329,8.37439681633567,84.4522365465465,184.01147935443902,222.96458740101897
B118,BGEM-0144-N,1164.0,14.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,64.2491389124947,7.64462960861909,91.09249461515141,167.061099830939,207.05870345977797
B119,BGEM-0145-N,1209.0,9.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,70.71894517710759,6.7932345329497394,75.0777545673396,122.990113069839,182.11538546101502
B120,BGEM-0146-N,1214.0,14.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,69.5107283445594,6.7932345329497394,89.9206843677505,179.11470304764998,217.542126966505
B121,BGEM-0147-S,1274.0,24.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,80.73545246629729,9.185249269354099,78.9837887253425,186.27152995757197,224.772074212523
B122,BGEM-0148-S,1202.0,2.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,71.264591488581,7.92842796717554,64.53146234073189,162.16432352415,196.936777315353
B123,BGEM-0149-S,1183.0,33.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,73.6030756806097,10.847496798041899,80.1555989727433,171.957876137728,210.673677082787
B124,BGEM-0150-S,1176.0,26.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,71.1476672789795,8.45548206163751,69.6093067461356,147.097319503261,174.16244349039502
B125,BGEM-0151-N,1289.0,39.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,70.4850967579047,7.76625747657185,77.8119784779416,165.931074529372,203.443729836769
B128,BGEM-0154-S,1126.0,26.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,74.577444093955,8.65819517489212,80.1555989727433,177.231327545039,220.434105864912
B130,BGEM-0156-S,1267.0,17.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,75.2789893515636,9.63121811851423,80.1555989727433,170.074500635117,210.673677082787
B131,BGEM-0157-N,1337.0,37.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,70.6799704405738,7.44191649536448,89.1394775361499,179.868053248694,218.265121691107
B132,BGEM-0158-S,1103.0,3.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,71.9271620096558,8.0500558351283,76.6401682305408,166.684424730417,208.14319554668097
B134,BGEM-0159-S,1156.0,6.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,81.04725035856791,9.185249269354099,100.857580010159,180.621403449739,224.04907948792098
B136,BGEM-0162-S,1181.0,31.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,75.94155987263841,8.333854193684749,74.2965477357391,162.540998624672,206.335708735176
B137,BGEM-0164-S,1190.0,40.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,77.5784988070586,8.0500558351283,78.20258189374191,177.231327545039,215.01164543039903
B138,BGEM-0165-S,1025.0,25.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,69.9784251829651,7.036490268855269,87.1864604571485,181.751428751305,220.434105864912
B139,BGEM-0166-S,1007.0,7.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,80.8523766758988,7.8068000992227695,94.9985287731542,192.67500666645,231.27902673394
B140,BGEM-0167-S,1145.0,45.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,70.5630462309723,8.37439681633567,70.3905135777362,170.074500635117,210.312179720487
B142,BGEM-0170-S,1247.0,47.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,75.39591356116509,9.509590250561471,72.3435306567376,167.43777493146098,205.97421137287603
B143,BGEM-0172-S,1052.0,2.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,73.6030756806097,8.090598457779219,96.95154585215559,211.508761692561,247.546408037481
B144,BGEM-0173-S,1332.0,32.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,71.0697178059119,8.17168370308106,93.43611510995309,167.061099830939,212.481163894292
B145,BGEM-0174-N,1240.0,40.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,68.146612565876,8.333854193684749,68.4374964987348,154.254146413183,188.622337982432
B146,BGEM-0175-S,1113.0,13.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,72.2389599019263,6.671606664996981,82.10861605174479,169.321150434072,203.08223247446801
