UID,CHL_blups_LN,CHL_blups_HN,CHL_LN,CHL_HN
B257,317.065077097082,361.879971306345,309.452130307991,340.692168286611
B259,317.756018996672,448.364684500969,311.413278857339,453.305902582525
B261,321.497693679489,395.692247939224,322.033534888545,384.719911410487
B262,332.756255637571,467.769999600393,353.989495968525,478.57400971745
B265,346.690478664314,389.012432415535,393.539972341994,376.021969973859
B267,339.265585830374,467.448510526357,372.465381527658,478.155391399539
B268,319.464671674833,352.891697292487,316.263066839659,328.988329952805
B273,315.24257603896,479.829410226808,304.279198534075,494.276845674046
B274,320.079389509206,407.212002433688,318.007863312203,399.720048704975
B276,321.124190369852,365.325315739871,320.973394413195,345.178430520283
B277,319.07644476755,434.05489071904,315.161135350937,434.672790957803
B280,322.664727280909,393.757411867502,325.346007696785,382.200516858102
B283,330.685015113043,435.075749145968,348.110549631016,436.002074196393
B287,327.95905317521,503.887328527395,340.373261874797,525.603214452285
B292,313.208723730692,379.18694606544,298.506373776576,363.227978200218
B297,311.217869849441,376.716391708366,292.855594451292,360.011012546356
B298,323.49973472539,449.778906224628,327.716067522956,455.147393217584
B299,342.783160455207,409.607417017338,382.449558745459,402.839173131562
B300,340.605367599123,453.934104337721,376.268177499046,460.557972254849
B302,301.622627756248,332.127009582326,265.620750070218,301.950152474349
B303,331.838204374791,392.658615299572,351.38372708507,380.769748573451
B304,330.649570798918,359.356628231347,348.009945563914,337.406465228942
B305,316.065325098263,448.761354655495,306.614464531239,453.822415914591
B306,326.991727211767,391.354451233998,337.627633174211,379.071566546433
B307,296.744667493968,326.841915750277,251.775295484499,295.068310232565
B308,323.399189285949,427.511865256176,327.430682394596,426.152967005699
B309,330.169164299967,410.663780317018,346.646374315631,404.214688081613
B310,310.304873035683,366.391405550311,290.264171962769,346.566610583717
B311,315.336854573416,389.118695046977,304.546795869239,376.160336990419
B312,300.626544838186,328.781394622258,262.793498501097,297.593750281955
B313,329.931383548964,354.744993047635,345.971464637743,331.40154898346
B314,298.589476245692,328.249553599656,257.011544739919,296.901227853487
B315,319.439583506399,370.971507415141,316.191857342654,352.53046656938
