,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
101,B114,BGEM-0138-S,1222.0,22.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,109.917570932482,71.8045086981715,80.2522079145967,136.917529515779,190.972707879177
102,B115,BGEM-0140-N,1030.0,30.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,90.2259824393699,50.8911237258372,65.8210610220461,117.100000001911,156.499999995546
103,B117,BGEM-0143-N,1266.0,16.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,104.35098243937,66.0911237258372,87.0710610220461,137.600000001911,186.499999995546
104,B118,BGEM-0144-N,1164.0,14.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,85.9568987605073,55.6110583527453,84.3805120235991,136.150000001911,190.249999995546
105,B119,BGEM-0145-N,1209.0,9.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,79.0700661182325,74.1461890989292,67.511610020493,119.875000001911,160.249999995546
106,B120,BGEM-0146-N,1214.0,14.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,95.8200661182325,61.4211890989292,88.636610020493,158.250000001911,203.749999995546
107,B121,BGEM-0147-S,1274.0,24.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,108.120066118232,65.5711890989292,77.836610020493,135.400000001911,182.499999995546
108,B122,BGEM-0148-S,1202.0,2.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,93.8259824393699,52.5161237258372,57.571061022046,131.500000001911,169.999999995546
109,B123,BGEM-0149-S,1183.0,33.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,99.3259824393699,63.6661237258372,73.946061022046,131.625000001911,185.499999995546
110,B124,BGEM-0150-S,1176.0,26.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,87.7450661182325,47.5961890989292,63.186610020493,99.7750000019106,137.249999995546
111,B125,BGEM-0151-N,1289.0,39.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,90.5759824393699,53.7411237258372,65.8210610220461,123.225000001911,168.749999995546
112,B128,BGEM-0154-S,1126.0,26.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,98.4318987605073,60.2360583527453,86.2555120235991,138.475000001911,186.999999995546
