,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
69,B076,BGEM-0082-S,2020.0,20.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,82.2631347147926,49.278385497243,49.3771956488873,93.643649955341,126.692603756662
70,B077,BGEM-0083-S,2161.0,11.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,88.5315558045142,50.4425146416676,69.1973927754691,121.264744059512,161.34452943881
71,B078,BGEM-0085-N,2064.0,14.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,83.9928641192677,50.1226413181996,69.8063382828265,115.579342191928,152.887809480667
72,B079,BGEM-0086-N,2243.0,43.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,84.8946888515154,50.2904437173959,73.4600119692383,124.05018413285,170.420033784135
73,B080,BGEM-0087-N,2144.0,44.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,91.0596218572085,52.5662637564962,80.6887855328652,132.206112980682,178.257969355097
74,B081,BGEM-0088-N,2220.0,20.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,88.5906918525305,49.9810580438777,69.0206020717868,111.73899086343,150.206410469548
75,B082,,,,,,,,,,,,,,,,
76,B083,BGEM-0090-N,2315.0,15.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,82.603166990886,49.7293544450832,62.4400609201155,112.440360666069,153.300332405454
77,B085,BGEM-0095-S,2123.0,23.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,84.4363844793895,49.2469225473937,58.9631779832623,101.318639509935,138.862030037892
78,B086,BGEM-0097-S,2318.0,18.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,81.863966390683,49.4776508462887,54.4255511454487,101.065293743506,134.32427786523
