"","male","bands","mean.heterosis","sd.heterosis","se.heterosis","max","min","Trt","Htype"
"130","B73",479,-2.04301961340698,3.52352422967615,0.401542852383396,6.8098795183033,-12.2574580851305,"HN","mid"
"131","B73",480,-2.02950700646359,3.51908207415343,0.401036621779303,6.73228578554655,-12.2913911054223,"HN","mid"
"132","B73",481,-2.062965582199,3.56241163570438,0.405974483591393,6.70183480172202,-12.488047919603,"HN","mid"
"133","B73",482,-2.05125562994735,3.54751436250861,0.404276781750326,6.73104797304067,-12.4064528621943,"HN","mid"
"134","B73",483,-2.02470907197493,3.53493447589675,0.402843170620242,6.76976422183588,-12.3119476292843,"HN","mid"
"135","B73",484,-2.01006491156327,3.54481117912161,0.403968725413267,6.78556523641475,-12.3239702367978,"HN","mid"
"136","B73",485,-2.02812630106938,3.5647369702938,0.406239480061665,6.80185070075745,-12.3777649122913,"HN","mid"
"137","B73",486,-2.03280503551351,3.59941737917735,0.41019167944989,6.82072680299771,-12.4530118833758,"HN","mid"
"138","B73",487,-2.03354843039354,3.6348332758442,0.41422769544988,6.88539188834303,-12.5848921989827,"HN","mid"
"139","B73",488,-2.05400496370188,3.64788636270155,0.41571523275272,6.94187254362326,-12.7032272445682,"HN","mid"
"140","B73",489,-2.04069682206061,3.67236018318211,0.418504283442855,6.99036052358059,-12.7774796604322,"HN","mid"
"141","B73",490,-2.05012377822414,3.71526657269067,0.423393920325052,7.06650429453107,-12.8588086264287,"HN","mid"
"142","B73",491,-2.09083922015096,3.73893946204012,0.426091696441781,7.06722445373138,-12.876794161414,"HN","mid"
"143","B73",492,-2.10085712968581,3.7796307656878,0.430728900862365,7.09708091455671,-13.0378293315805,"HN","mid"
"144","B73",493,-2.08477441525727,3.80246552362572,0.433331163040286,7.16827472610167,-13.1544008664095,"HN","mid"
"145","B73",494,-2.09046963124112,3.82460751897666,0.435854477594446,7.21592150152619,-13.194478133369,"HN","mid"
"146","B73",495,-2.11740947191216,3.86146509880479,0.440054788638566,7.25131463142538,-13.1879311206155,"HN","mid"
"147","B73",496,-2.12612032272087,3.92030431462396,0.446760139591752,7.31263616841454,-13.4189679658276,"HN","mid"
"148","B73",497,-2.12538377265442,3.97942906523835,0.453498030254801,7.37634346393356,-13.6035690466678,"HN","mid"
"149","B73",498,-2.12331187791718,4.02862116482864,0.45910399028137,7.45669198059787,-13.6304332780866,"HN","mid"
"150","B73",499,-2.1519871290946,4.07886924106421,0.464830290015163,7.52157468431709,-13.8062219156736,"HN","mid"
"151","B73",500,-2.20672569329015,4.14427135459129,0.472283552574389,7.60498610033062,-14.0414461845089,"HN","mid"
"152","B73",501,-2.21662588937688,4.20582833731902,0.479298621811156,7.66406963553558,-14.1546235315991,"HN","mid"
"153","B73",502,-2.18542608889617,4.27140438248629,0.486771705720361,7.74479610634903,-14.2170162396941,"HN","mid"
"154","B73",503,-2.2178696201812,4.34840086549871,0.495546269309821,7.84485408839723,-14.4982335415014,"HN","mid"
"155","B73",504,-2.24920640184618,4.43247739554524,0.50512767914065,7.9221156453158,-14.6989476041872,"HN","mid"
"156","B73",505,-2.27628291730461,4.52683156156377,0.51588033429149,7.97221451241489,-14.8424063354972,"HN","mid"
"157","B73",506,-2.31946667556469,4.60979727680018,0.525335155026218,8.02962769110308,-15.0268699847908,"HN","mid"
"158","B73",507,-2.32164595277215,4.70257232639954,0.535907853159632,8.11809032755749,-15.1529826042671,"HN","mid"
"159","B73",508,-2.31740499482128,4.78723453525928,0.545556007285635,8.0816514241697,-15.2216511637836,"HN","mid"
"160","B73",509,-2.36927582767622,4.88593964801687,0.556804498835003,8.06587196148493,-15.3509951584824,"HN","mid"
"161","B73",510,-2.42568080512635,5.00416958302651,0.570278050383487,8.24497715136393,-15.6129894900313,"HN","mid"
"162","B73",511,-2.48750007800555,5.1261290643379,0.584176623178451,8.59557007502984,-15.8804226490783,"HN","mid"
"163","B73",512,-2.5543790479655,5.24712390803607,0.597965265314938,8.94469527800251,-16.0392590737271,"HN","mid"
"164","B73",513,-2.61815253767483,5.36293165536899,0.61116278295949,9.26302780442652,-16.1344880663803,"HN","mid"
"165","B73",514,-2.7152520558301,5.48608110516927,0.625196965249418,9.46440668778812,-16.2877974504503,"HN","mid"
"166","B73",515,-2.80415243346415,5.61165244009245,0.63950714696407,9.69540792932604,-16.4238592408928,"HN","mid"
"167","B73",516,-2.90439351228853,5.74447480817787,0.654643660597818,10.0006020033697,-16.652551588227,"HN","mid"
"168","B73",517,-3.02445268739341,5.88092057379081,0.670193098702546,10.2594206161806,-16.897418861994,"HN","mid"
"169","B73",518,-3.13228992310398,6.00180776338213,0.683969472514957,10.4994970908875,-16.9845574381159,"HN","mid"
"170","B73",519,-3.25944822857404,6.12573429416412,0.698092211401517,10.7496782957054,-17.0863834288328,"HN","mid"
