"PLOT.ID","rows","ranges","Block","Rep","Group","Trt","year","genotype","note","Calibration","ASD","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"1181","31","4","1","1","Inbred","HN","2022","BGEM-0162-S","BGEM_Short_early","0","2",77,8.4,72.5,160,204.5
"1182","32","4","1","1","Inbred","HN","2022","BGEM-0282-N","BGEM_Short_early","0","1",74.5,7.05,110,197.5,241
"1183","33","4","1","1","Inbred","HN","2022","BGEM-0149-S","BGEM_Short_early","0","1",74,11.5,80,172.5,210.5
"1184","34","4","1","1","Inbred","HN","2022","BGEM-0141-N","BGEM_Short_early","0","1",74.25,9.7,64,165,210
"1185","35","4","1","1","Inbred","HN","2022","BGEM-0115-S","BGEM_Short_early","0","1",72.2,7.65,68,165,212.5
"1186","36","4","1","1","Inbred","HN","2022","BGEM-0083-S","BGEM_Short_early","0","1",81.25,8.9,90,184,220
"1187","37","4","1","1","Inbred","HN","2022","Mo17","BGEM_Short_early","0","1",69.05,8.8,70,159,216.5
"1188","38","4","1","1","Inbred","HN","2022","BGEM-0242-N","BGEM_Short_late","0","2",69.4,7.85,70,146,189
"1189","39","4","1","1","Inbred","HN","2022","BGEM-0249-N","BGEM_Short_late","0","2",72,6.25,77.5,175,207.5
"1190","40","4","1","1","Inbred","HN","2022","BGEM-0164-S","BGEM_Short_late","0","1",79.1,8.05,77.5,179.5,216.5
"1191","41","4","1","1","Inbred","HN","2022","BGEM-0262-S","BGEM_Short_late","0","2",73.85,6.75,84,189.5,227.5
"1192","42","4","1","1","Inbred","HN","2022","BGEM-0268-S","BGEM_Short_late","0","2",86.7,7,95,189,243.5
"1193","43","4","1","1","Inbred","HN","2022","BGEM-0181-N","BGEM_Short_late","0","2",68,7.3,90,170,214.5
"1194","44","4","1","1","Inbred","HN","2022","BGEM-0120-N","BGEM_Short_late","0","2",84.75,8.9,92.5,169.5,208.5
"1195","45","4","1","1","Inbred","HN","2022","B73","BGEM_Short_late","0","2",69,8.25,101,177,214.5
