"genotype","CHL_LN","CHL_HN"
"BGEM-0297-N",333.112146869398,443.55972342732
"BGEM-0298-S",294.028189932107,320.25013870848
"BGEM-0299-N",354.439938854127,427.841338606612
"BGEM-0300-S",298.588337020698,313.698828807706
"BGEM-0301-S",231.871899030468,320.12249611343
"BGEM-0302-S",325.047233520995,410.954720065469
"BGEM-0303-N",327.702775200125,409.071962895966
"BGEM-0304-N",297.443846293324,287.169288053719
"BGEM-0305-S",309.452130307991,340.692168286611
"BGEM-0306-S",373.452306443311,452.612108977831
"BGEM-0307-S",311.413278857339,453.305902582525
"BGEM-0308-S",316.4818674794,482.879379082742
"BGEM-0309-S",322.033534888545,384.719911410487
"BGEM-0310-S",353.989495968525,478.57400971745
"BGEM-0311-N",338.772754124165,401.043236168458
"BGEM-0312-S",322.898171586629,327.932507192802
"BGEM-0313-S",393.539972341994,376.021969973859
"BGEM-0314-S",244.095755304197,416.196611092424
"BGEM-0315-S",372.465381527658,478.155391399539
"BGEM-0316-S",316.263066839659,328.988329952805
"BGEM-0317-S",350.248491246367,444.545665152963
"BGEM-0318-S",286.434203429986,408.080374529863
"BGEM-0319-S",336.04979021886,427.690141225726
"BGEM-0320-N",364.939070820484,407.667565780764
"BGEM-0321-S",304.279198534075,494.276845674046
"BGEM-0322-S",318.007863312203,399.720048704975
"BGEM-0323-S",422.594264099179,419.034394922252
"BGEM-0324-N",320.973394413195,345.178430520283
"BGEM-0325-N",315.161135350937,434.672790957803
"BGEM-0326-N",309.77555116686,349.921849340002
"BGEM-0327-N",291.27378823405,361.392873157375
"BGEM-0328-S",325.346007696785,382.200516858102
"LH109 X LH123",260.117076320306,399.710328243331
"LH109 X LH59",350.342393033479,442.571530594623
"LH123 X LH59",328.735568775413,395.222440642182
"LH123 X PHG50",384.170422069975,442.002181847854
"LH132 X B73",373.075711212536,447.63805607181
"LH74 X LH123",383.924467207322,491.109805084218
"Mo17",341.408890983168,404.83442029569
"PHB47 X PHK29",343.56452021454,491.975988608886
"PHB47 X PHW52",304.513884997194,356.8406243434
"PHG47 X PHZ51",287.461590249061,460.806888394373
"PHG86 X B73",326.978739298834,504.555383287778
"PHG86 X LHB2",309.177520375387,481.745477143872
"PHG86 X PHW52",315.614053133214,452.688007291165
"PHG89 X PHW52",321.198534997835,497.349105318823
"PHJ40 X PHW52",282.567602798972,430.275028821033
"PHK29 X PHW52",343.283657434931,454.222547540306
"PHZ51 X LH123",303.8815454506,319.423052234576
